service_slug,service_name,category_id,category_label,plan_name,price,currency,cycle
netflix,Netflix,2,動画配信,広告つきスタンダード,890,JPY,monthly
netflix,Netflix,2,動画配信,スタンダード,1590,JPY,monthly
netflix,Netflix,2,動画配信,プレミアム,2290,JPY,monthly
spotify,Spotify,3,音楽,Standard,1080,JPY,monthly
spotify,Spotify,3,音楽,Student,580,JPY,monthly
spotify,Spotify,3,音楽,Duo,1480,JPY,monthly
spotify,Spotify,3,音楽,Family,1880,JPY,monthly
hulu,Hulu,2,動画配信,月額,1026,JPY,monthly
amazonprime,Amazon Prime Video,2,動画配信,プライム（月間）,600,JPY,monthly
amazonprime,Amazon Prime Video,2,動画配信,プライム（年間）,5900,JPY,yearly
amazonprime,Amazon Prime Video,2,動画配信,Prime Student（月間）,300,JPY,monthly
amazonprime,Amazon Prime Video,2,動画配信,Prime Student（年間）,2950,JPY,yearly
unext,U-NEXT,2,動画配信,月額利用料,2189,JPY,monthly
disneyplus,Disney+,2,動画配信,スタンダード（月額）,1250,JPY,monthly
disneyplus,Disney+,2,動画配信,プレミアム（月額）,1670,JPY,monthly
disneyplus,Disney+,2,動画配信,スタンダード（年額）,12500,JPY,yearly
disneyplus,Disney+,2,動画配信,プレミアム（年額）,16700,JPY,yearly
dazn,DAZN,2,動画配信,DAZNスタンダード（月額更新）,4200,JPY,monthly
dazn,DAZN,2,動画配信,DAZNスタンダード（年額前払い）,32000,JPY,yearly
dazn,DAZN,2,動画配信,DAZNスタンダード（年額分割払い）,3200,JPY,monthly
dazn,DAZN,2,動画配信,DAZNサッカー（年額分割払い）,2600,JPY,monthly
dazn,DAZN,2,動画配信,DAZNグローバル（月額更新）,980,JPY,monthly
dazn,DAZN,2,動画配信,DAZNベースボール（年額前払い）,27600,JPY,yearly
dazn,DAZN,2,動画配信,DAZNベースボール（年額分割払い）,2300,JPY,monthly
dazn,DAZN,2,動画配信,ABEMA de DAZN学割（月額更新）,1600,JPY,monthly
dazn,DAZN,2,動画配信,ABEMA de DAZN学割（年額前払い）,16000,JPY,yearly
dazn,DAZN,2,動画配信,DAZN W杯（月額更新）,1980,JPY,monthly
abema,ABEMA,2,動画配信,広告つきABEMAプレミアム,680,JPY,monthly
abema,ABEMA,2,動画配信,ABEMAプレミアム,1180,JPY,monthly
abema,ABEMA,2,動画配信,広告つきABEMAプレミアム｜Disney+スタンダード,1640,JPY,monthly
abema,ABEMA,2,動画配信,ABEMAプレミアム｜Disney+スタンダード,1860,JPY,monthly
abema,ABEMA,2,動画配信,広告つきABEMAプレミアム｜Disney+プレミアム,2000,JPY,monthly
abema,ABEMA,2,動画配信,ABEMAプレミアム｜Disney+プレミアム,2190,JPY,monthly
youtube,YouTube Premium,2,動画配信,個人,1280,JPY,monthly
youtube,YouTube Premium,2,動画配信,ファミリー,2280,JPY,monthly
youtube,YouTube Premium,2,動画配信,学生,780,JPY,monthly
youtube,YouTube Premium,2,動画配信,Premium Lite,780,JPY,monthly
youtubemusic,YouTube Music,3,音楽,個人（月額）,1080,JPY,monthly
youtubemusic,YouTube Music,3,音楽,個人（年額）,10800,JPY,yearly
youtubemusic,YouTube Music,3,音楽,ファミリー,1680,JPY,monthly
youtubemusic,YouTube Music,3,音楽,学生,580,JPY,monthly
applemusic,Apple Music,3,音楽,個人,1080,JPY,monthly
applemusic,Apple Music,3,音楽,ファミリー,1680,JPY,monthly
applemusic,Apple Music,3,音楽,学生,580,JPY,monthly
LINE MUSIC,LINE MUSIC,3,音楽,一般,1080,JPY,monthly
LINE MUSIC,LINE MUSIC,3,音楽,一般（LINE STORE限定）,980,JPY,monthly
LINE MUSIC,LINE MUSIC,3,音楽,学生,580,JPY,monthly
LINE MUSIC,LINE MUSIC,3,音楽,学生（LINE STORE限定）,480,JPY,monthly
LINE MUSIC,LINE MUSIC,3,音楽,ファミリー,1680,JPY,monthly
chatgpt,ChatGPT,1,AI,無料版,0,JPY,monthly
chatgpt,ChatGPT,1,AI,Go,1400,JPY,monthly
chatgpt,ChatGPT,1,AI,Plus,3000,JPY,monthly
chatgpt,ChatGPT,1,AI,Pro,16800,JPY,monthly
chatgpt,ChatGPT,1,AI,ビジネス,3050,JPY,monthly
claude,Claude,1,AI,無料,0,USD,monthly
claude,Claude,1,AI,Pro,20,USD,monthly
claude,Claude,1,AI,Max,100,USD,monthly
Gemini,Gemini,1,AI,無料,0,JPY,monthly
Gemini,Gemini,1,AI,Google AI Plus,725,JPY,monthly
Gemini,Gemini,1,AI,Google AI Pro,2900,JPY,monthly
Gemini,Gemini,1,AI,Google AI Ultra,14500,JPY,monthly
cursor,Cursor,1,AI,Hobby（月払い）,0,USD,monthly
cursor,Cursor,1,AI,個人（月払い）,20,USD,monthly
cursor,Cursor,1,AI,Teams（月払い）,40,USD,monthly
cursor,Cursor,1,AI,Hobby（年払い）,0,USD,yearly
cursor,Cursor,1,AI,個人（年払い・月あたり）,16,USD,yearly
cursor,Cursor,1,AI,Teams（年払い・月あたり）,32,USD,yearly
github,GitHub,15,開発,Team（月払い）,4,USD,monthly
github,GitHub,15,開発,Enterprise（月払い）,21,USD,monthly
github,GitHub,15,開発,Team（年払い）,48,USD,yearly
github,GitHub,15,開発,Enterprise（年払い）,252,USD,yearly
notion,Notion,11,ビジネス,プラス（月払い）,2000,JPY,monthly
notion,Notion,11,ビジネス,ビジネス（月払い）,3800,JPY,monthly
notion,Notion,11,ビジネス,プラス（年払い・月あたり）,1650,JPY,yearly
notion,Notion,11,ビジネス,ビジネス（年払い・月あたり）,3150,JPY,yearly
slack,Slack,11,ビジネス,プロ（年払い・月あたり）,925,JPY,yearly
slack,Slack,11,ビジネス,プロ（月払い）,1920,JPY,monthly
